2026-02-04 11:42:01.617 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-02-04 11:42:01.750 [main] INFO  com.rosy.WebApplication - Starting WebApplication v0.0.1 using Java 21.0.6 with PID 2596 (D:\work\code\money\LiveMngServer_kimi_k2.5\web\target\web-0.0.1.jar started by qiaoqiao in D:\work\code\money\LiveMngServer_kimi_k2.5)
2026-02-04 11:42:01.751 [main] INFO  com.rosy.WebApplication - The following 1 profile is active: "dev"
2026-02-04 11:42:03.414 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-02-04 11:42:03.418 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-02-04 11:42:03.453 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18 ms. Found 0 Redis repository interfaces.
2026-02-04 11:42:05.211 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-04 11:42:05.227 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-0.0.0.0-8080"]
2026-02-04 11:42:05.228 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2026-02-04 11:42:05.228 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.33]
2026-02-04 11:42:05.272 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-04 11:42:05.273 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 3454 ms
2026-02-04 11:42:08.020 [main] INFO  o.s.s.c.a.a.c.InitializeUserDetailsBeanManagerConfigurer$InitializeUserDetailsManagerConfigurer - Global AuthenticationManager configured with UserDetailsService bean with name inMemoryUserDetailsManager
2026-02-04 11:42:10.891 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-0.0.0.0-8080"]
2026-02-04 11:42:10.907 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-04 11:42:10.917 [main] INFO  com.rosy.WebApplication - Started WebApplication in 9.768 seconds (process running for 10.643)
2026-02-04 11:42:18.511 [http-nio-0.0.0.0-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-04 11:42:18.511 [http-nio-0.0.0.0-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-04 11:42:18.514 [http-nio-0.0.0.0-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-02-04 11:42:57.666 [http-nio-0.0.0.0-8080-exec-2] INFO  org.springdoc.api.AbstractOpenApiResource - Init duration for springdoc-openapi is: 665 ms
2026-02-04 11:43:22.423 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-02-04 11:43:22.481 [restartedMain] INFO  com.rosy.WebApplication - Starting WebApplication using Java 21.0.6 with PID 20944 (D:\work\code\money\LiveMngServer_kimi_k2.5\web\target\classes started by qiaoqiao in D:\work\code\money\LiveMngServer_kimi_k2.5)
